Set,R2,RMSE,MAE,CV,MAPE
Training,0.9496162533760071,145.84542732590214,91.87944793701172,22.806933725303725,2741138.75
Testing,0.8626765012741089,226.42265511648785,156.13067626953125,29.50090085351404,45586520.0
