epoch,train_loss,val_loss
1,0.270604801478616,0.19469041741171547
2,0.12441930344753098,0.14061895060504592
3,0.10373337151842159,0.12326935475129028
4,0.09146650500421287,0.1140011889470178
5,0.07891353295996176,0.11548155404324102
6,0.07633879666396401,0.1177064469517317
7,0.06810745509744387,0.15223573966948098
8,0.0698134853717005,0.12772685025147226
9,0.07355086577304623,0.14054294372367304
10,0.06494216311570497,0.12756034337677236
11,0.05358640062050861,0.11896748065428678
12,0.05252425337744038,0.11801031634731349
13,0.04795153636746762,0.1163968711571638
14,0.04502604985664114,0.12394229435296945
15,0.04554867792918145,0.11458327551913816
16,0.04269727948530201,0.12910469365847665
17,0.03956746960832187,0.12315813257077406
18,0.03739362660991518,0.12612474358878856
19,0.03882089840542329,0.12322952124008606
