Set,Split_Method,R2,RMSE,MAE,CV,MAPE
Training,Temporal (9mo/3mo),0.9834511092711267,82.12508002966909,47.058999942881314,12.323507004410091,NA
Testing,Temporal (9mo/3mo),0.7186572193425385,345.26816996573945,245.10132010957915,42.12652741199032,NA
