Set,R2,RMSE,MAE,CV,MAPE
Training,0.9871607994898844,73.1561661136743,43.166286049401634,10.390905714820695,NA
Testing,0.9394835002604611,158.16657206828776,87.66043652786654,22.394020535357996,NA
