Set,R2,RMSE,MAE,CV,MAPE
Training,0.89004444836402,213.02172814202876,138.07665222851224,33.91488770802196,81.58157486971103
Testing,0.5471029739240709,411.1943986655432,309.90033841443557,53.575049887997636,87.47313127189177
