Set,R2,RMSE,MAE,CV,MAPE
Training,0.8850392386062641,217.81618062555074,156.31786740653925,34.67820569918801,122.2792379253361
Testing,0.6645312095628809,353.8942586320109,264.3175827060585,46.10934055234422,83.4704382180612
