epoch,train_loss,val_loss
1,0.35693118095397947,0.5275476643476974
2,0.2151597405757223,0.41914408857172186
3,0.18920684567519597,0.33089729059826245
4,0.16571476591484888,0.3967678469013084
5,0.15503110649330276,0.31453363021666353
6,0.1511391951569489,0.31533588824624365
7,0.1458986141000475,0.2831267345358025
8,0.1392409606916564,0.308814877982844
9,0.13071927972137928,0.32701726630330086
10,0.12948000824877193,0.28838253139772196
11,0.11962755452309336,0.3385157559744336
12,0.11559993459710054,0.30273634466257965
13,0.11156650566629,0.3051206665960225
14,0.10700412582073893,0.3031375791708177
15,0.10604703922356878,0.3382827817377719
16,0.10420652004224913,0.285561690360985
17,0.10474336950906686,0.31773055040023546
18,0.09775918994631086,0.3248794068667022
19,0.08721801779099873,0.303527390753681
20,0.08243069783917495,0.3328134528445927
21,0.07862320821200099,0.3123515173792839
22,0.07406769103237561,0.3574485614557158
23,0.0758201485659395,0.3185722686519677
24,0.07249062266732965,0.3263308092613112
25,0.07150555866105215,0.3417242116040804
26,0.0715747663804463,0.3099492891606959
27,0.07037982706512724,0.3554813607003201
