epoch,train_loss,val_loss
1,0.30463342189788817,0.5759717118503018
2,0.19208780805979456,0.45108082704246044
3,0.16777135450925146,0.3924031501043249
4,0.15219877692205566,0.41260632199489256
5,0.14589177223188537,0.41198774336159905
6,0.13570225607071604,0.3806688856248828
7,0.1232036077018295,0.4214057399975983
8,0.11971312707023961,0.4016522280871868
9,0.11527066999248096,0.40596756686202506
10,0.113532994389534,0.40847020740197465
11,0.11049416300441538,0.43458404688333924
12,0.10611089409462043,0.4145600731399926
13,0.10667316041886807,0.46634029275314376
14,0.09791318768901484,0.4878625544634732
15,0.09830186314880848,0.5102028979665854
16,0.0960083104457174,0.4305584417571398
17,0.09338393755789313,0.4505394878903065
18,0.0935107089898416,0.5182086725465276
19,0.08966851247208459,0.47525493358261883
20,0.08527211238230978,0.442653101995926
21,0.08480685761996679,0.4470987707715143
