Set,R2,RMSE,MAE,CV,MAPE
Training,0.9425914561111883,153.92302453327073,112.04339691301115,24.505866787656743,142.2340222864086
Testing,0.6356708192702756,368.8029906812001,275.59420262442694,48.05181852844081,2087.57621420174
