Set,R2,RMSE,MAE,CV,MAPE
Training,0.8487215580723761,249.86408974931658,162.4847286776636,39.780507932342076,inf
Testing,0.6537050888936702,359.5592868063719,250.11525505284467,46.84744439822167,inf
