epoch,train_loss,val_loss,train_mae,val_mae
1,0.5621404051780701,0.7340847849845886,0.5550782680511475,0.6374525427818298
2,0.3356129825115204,0.5297818183898926,0.4148764908313751,0.5300676226615906
3,0.262690931558609,0.37851473689079285,0.36193305253982544,0.4451592266559601
4,0.23894107341766357,0.3228263556957245,0.34468233585357666,0.39178431034088135
5,0.21129629015922546,0.3038480579853058,0.31747883558273315,0.3798736333847046
6,0.19526323676109314,0.3577636480331421,0.3074120879173279,0.42225977778434753
7,0.17046397924423218,0.2808294892311096,0.28439638018608093,0.36651933193206787
8,0.16456615924835205,0.2830657362937927,0.2822165787220001,0.37297460436820984
9,0.15828348696231842,0.29958197474479675,0.27096429467201233,0.3859823942184448
10,0.1413978636264801,0.29465746879577637,0.2607628107070923,0.38153955340385437
11,0.13477346301078796,0.29611700773239136,0.25177305936813354,0.37735530734062195
12,0.1418982297182083,0.3067341148853302,0.25616616010665894,0.37955161929130554
13,0.1292135864496231,0.3172719478607178,0.2447364777326584,0.3888443112373352
14,0.1286734938621521,0.29983845353126526,0.24273467063903809,0.375467985868454
15,0.11454056203365326,0.29002654552459717,0.23274721205234528,0.36333200335502625
16,0.11015395075082779,0.28390154242515564,0.22776277363300323,0.3600464165210724
17,0.10674378275871277,0.28986504673957825,0.2236126959323883,0.3679644763469696
18,0.09724932163953781,0.2645629048347473,0.21471376717090607,0.353758305311203
19,0.09450532495975494,0.27410194277763367,0.21238799393177032,0.3626113831996918
20,0.09256463497877121,0.30831336975097656,0.20772011578083038,0.3702322542667389
21,0.08755406737327576,0.2842997908592224,0.20369933545589447,0.35551947355270386
22,0.08746258914470673,0.285366028547287,0.20307675004005432,0.3573068082332611
23,0.08551600575447083,0.25583136081695557,0.199966698884964,0.34014269709587097
24,0.08242273330688477,0.248179629445076,0.19904547929763794,0.3409460186958313
25,0.07725412398576736,0.2899231016635895,0.19093850255012512,0.3594295084476471
26,0.07820411026477814,0.31249862909317017,0.19466501474380493,0.3692958652973175
27,0.07904192805290222,0.26375627517700195,0.1946975439786911,0.3413112461566925
28,0.0736842006444931,0.29146072268486023,0.1905142068862915,0.3622238039970398
29,0.07472807914018631,0.28028467297554016,0.1900426596403122,0.36118751764297485
30,0.0716228261590004,0.2546629011631012,0.18652217090129852,0.34439536929130554
31,0.07233624160289764,0.2792223393917084,0.18655681610107422,0.34953466057777405
32,0.06943368911743164,0.29266780614852905,0.1823212057352066,0.35672727227211
33,0.06675369292497635,0.26012057065963745,0.18205566704273224,0.3372192084789276
34,0.06390032917261124,0.2574339509010315,0.17796514928340912,0.342993825674057
35,0.06564294546842575,0.24354317784309387,0.17690417170524597,0.33223482966423035
36,0.06199309974908829,0.2729395925998688,0.17417289316654205,0.35139092803001404
37,0.06179334968328476,0.24828405678272247,0.1730010211467743,0.33694329857826233
38,0.06365641951560974,0.2877764403820038,0.1752295196056366,0.35439521074295044
39,0.056563600897789,0.25534042716026306,0.1672854721546173,0.3378303647041321
40,0.05935871601104736,0.2700163722038269,0.170679971575737,0.34945419430732727
41,0.057754553854465485,0.29308679699897766,0.1696782410144806,0.3593136668205261
42,0.058332979679107666,0.2533724009990692,0.1689968705177307,0.33662110567092896
43,0.05707848072052002,0.2534573972225189,0.16983960568904877,0.3316730558872223
44,0.05572006106376648,0.2819374203681946,0.16674676537513733,0.34976819157600403
45,0.056670840829610825,0.25077858567237854,0.16749492287635803,0.33015283942222595
46,0.05277710780501366,0.2565784156322479,0.1628197878599167,0.3335469663143158
47,0.052010975778102875,0.27216270565986633,0.16201721131801605,0.34209105372428894
48,0.0505436472594738,0.28831779956817627,0.15730297565460205,0.3474249243736267
49,0.05323857069015503,0.2787459194660187,0.16323012113571167,0.34351682662963867
50,0.04963446035981178,0.2654649615287781,0.1575895994901657,0.3387262225151062
51,0.05191771686077118,0.26896077394485474,0.16058053076267242,0.3386870324611664
52,0.05103195086121559,0.25490671396255493,0.15827694535255432,0.33112937211990356
53,0.050516340881586075,0.2685282826423645,0.1589181125164032,0.337223082780838
54,0.048756662756204605,0.2636701762676239,0.155490443110466,0.336463063955307
55,0.05024528503417969,0.2636546194553375,0.15810614824295044,0.33459165692329407
