epoch,train_loss,val_loss,train_mae,val_mae
1,0.3897608816623688,0.5576533675193787,0.4286697506904602,0.5927861332893372
2,0.2622285783290863,0.45655176043510437,0.3414560556411743,0.5106011629104614
3,0.24060043692588806,0.395881325006485,0.32381656765937805,0.4497665762901306
4,0.2135048359632492,0.37617191672325134,0.3048349618911743,0.41806507110595703
5,0.20345887541770935,0.37248679995536804,0.29361942410469055,0.40320348739624023
6,0.18791769444942474,0.36133506894111633,0.28250429034233093,0.4001133143901825
7,0.177176371216774,0.3851543962955475,0.2742904722690582,0.41277408599853516
8,0.16580845415592194,0.3505922257900238,0.2639421224594116,0.3918457329273224
9,0.16344857215881348,0.3557179570198059,0.26096799969673157,0.39024224877357483
10,0.15877792239189148,0.3782826066017151,0.25544053316116333,0.41268211603164673
11,0.15212437510490417,0.34923410415649414,0.25007641315460205,0.38895249366760254
12,0.15228866040706635,0.3871985077857971,0.2493179738521576,0.41784894466400146
13,0.141179159283638,0.40122687816619873,0.2403123676776886,0.4373861849308014
14,0.14135175943374634,0.3804796636104584,0.24099750816822052,0.4190506935119629
15,0.13379108905792236,0.37541142106056213,0.23457075655460358,0.4158428907394409
16,0.13219521939754486,0.4522593021392822,0.23355580866336823,0.4564323127269745
17,0.1220531016588211,0.500060498714447,0.22765010595321655,0.48846182227134705
18,0.127555251121521,0.4907895624637604,0.23182226717472076,0.4971345365047455
19,0.12120799720287323,0.4476509988307953,0.2218904048204422,0.47006943821907043
20,0.11850038915872574,0.48272237181663513,0.22192823886871338,0.476978600025177
21,0.11648237705230713,0.44873929023742676,0.2189064472913742,0.4564412832260132
22,0.11154607683420181,0.4297579228878021,0.2145467847585678,0.44803211092948914
23,0.1053096204996109,0.4720289707183838,0.20770499110221863,0.468606561422348
24,0.1034550741314888,0.5062896013259888,0.20819240808486938,0.4912545680999756
25,0.0986417829990387,0.5670728087425232,0.20439721643924713,0.5253503322601318
26,0.10337930917739868,0.4476522207260132,0.20762227475643158,0.4510950446128845
